product,﻿Collection,Company,Product,Variant,Translations,Unit Cost,Updated At,Inventory Quantity
out-of-stock items that gets re-stocked,,,,,,,,
成功补货的产品,,,,,,,,
,AVADA - Best Sellers,Master Kong,Master Kong · Tomato Egg Beef Instant Noodle (5*115g),,"方便面, 康师傅 · 番茄鸡蛋牛肉面量贩装 (5*115g)",5.0 CAD,2024-01-09T08:51:33Z,0
,Self-Heating Meals,Mo Xiao Xian,Mo Xiao Xian · Cured Pork With Green Beans Clay Pot Rice Flavor Self-Heating Pot (275g),,莫小仙 · 川式腊肉味煲仔饭自热饭 (275g),6.0 CAD,2023-12-08T20:16:57Z,5
,Noodles & Udon,SANUKI,SANUKI · Frozen Undon Noodle (5*230g),,SANUKI · 冷冻乌冬面 (5*230g),N/A,2024-01-23T18:53:13Z,0
,Weekly Special,Shuang Hui,Shuang Hui · Pepper Chicken Flavor Noodles (213g+50g),,"Expired Date: 2024-06, 双汇 · 藤椒鸡肉拌面 (213g+50g)",4.5 CAD,2023-12-08T03:22:12Z,0
,Weekly Special Fruit,Unknown,Peeled RI-6 Durian By Air (500g),,,20.0 CAD,2024-03-30T00:35:19Z,0
,Dumplings & Wontons,EB,EB · Frozen Fried Fish Ball (500g),,EB · 炸鱼丸 (500g),3.5 CAD,2023-12-16T04:40:24Z,0
,Buns & Dim Sum,Ri Wang,Ri Wang · Pork Filling Soupy Buns(240g),,日旺 · 南翔小笼包(240g),3.0 CAD,2023-11-07T03:23:45Z,0
,Tea & Herbal Drinks,Itoen,Itoen · Unsweetened Green Tea (500ml),,伊藤园 · 天然无糖绿茶 (500ml) ,N/A,2023-11-03T00:21:02Z,0
,Tea & Herbal Drinks,Master Kong,Master Kong · Mango Flavor Drink (500ml),,康师傅 · 芒果小酪 (500ml),1.0 CAD,2023-12-27T19:44:27Z,0
,Cooking Oils & Flour,Arawana,Arawana · Pure Peanut Oil (900ml),,金龙鱼 · 纯花生油 (900ml),N/A,2023-12-27T20:07:52Z,3
,Jelly & Dried Fruits,ShanYuanZe,ShanYuanZe · Steam Sweet Potato Strips (180g),,膳源泽 · 自然倒蒸甘薯条 (180g),2.5 CAD,2024-03-08T06:24:03Z,0
,Rice Crackers,YNL,YNL · Seaweed Flavor Crispy Rice Crackers (170g),,友能量 · 肉松锅巴海苔味 (170g),2.0 CAD,2024-01-17T18:28:25Z,0
,Self-Heating Meals,Kai Xiao Zao,Kai Xiao Zao · Braised Pork With Shiitake Mushrooms Flavor Self-Heating Pot (236g),,"自热饭, 开小灶 · 小香菇炖肉自热饭 (236g)",6.0 CAD,2024-01-10T21:39:00Z,5
,Frozen Meat & Seafood,Ri Wang,Ri Wang · Hot Pot Meat Series (150g),,日旺 · 火锅肉系列 (150g),4.0 CAD,2024-01-20T19:11:14Z,0
,Noodles & Udon,Haidilao,Haidilao ·  Hot Pot Noodles (150g),,海底捞 · 捞派冷冻火锅捞面 (150g),1.0 CAD,2023-11-16T04:30:57Z,0
,Pork,Unknown,Frozen Pork Spare Ribs Cut in Cubes (1LB/Pack),,冷冻猪肋排骨切块 (约1LB/包),7.46 CAD,2024-01-07T03:54:46Z,0
,Milk Flavoured Drinks,Chi Forest,Chi Forest · Original Milk Tea (450ml),,元气森林 · 原味乳茶 (450ml),N/A,2024-01-30T06:58:30Z,0
,Ice Cream & Dessert,I Love Yum,I Love Yum · Soy Milk Mochi Frozen Cake (350g),,至味 · 豆乳麻薯盒子蛋糕 (350g),7.8 CAD,2024-04-02T18:16:43Z,0
,AVADA - Best Sellers,Yu Niang Xian Zi,Yu Niang Xian Zi · Osmanthus Honey Sauce (300g),,渔娘仙子 · 桂花蜜酱 (300g),2.0 CAD,2024-01-17T21:01:27Z,5
,Self-Heating Meals,Tian Xiao Hua,Tian Xiao Hua · Spicy Pot Flavor Fresh Vegetable Self-Heating Mini Hot Pot (300g),,田小花 · 香辣味鲜蔬自热小火锅(300g),4.0 CAD,2023-12-11T22:46:15Z,5
,Seafood Snacks,Zhua Yu De Mao,Zhua Yu De Mao · Braised Crayfish (15*22g),,抓鱼的猫 · 油焖小龙虾 (15*22g),7.0 CAD,2023-12-20T22:51:06Z,4
,Specialty Noodles,Kuai Lai Kuai Wang,Kuai Lai Kuai Wang · Sichuan Dandan Noodles (4lb),,筷来筷往 · 四川担担面家庭装 (4lb),4.0 CAD,2024-03-23T09:15:59Z,0
